Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Paul Arizin,23.0,PHW,SF,66.0,2939.0,8.303030303030303,18.515151515151516,0.448,8.757575757575758,10.712121212121213,0.818,745.0,170.0,250.0,25.363636363636363,0.0,"AS,NBA1"
2.0,George Mikan,27.0,MNL,C,64.0,2572.0,8.515625,22.09375,0.385,6.765625,8.671875,0.78,866.0,194.0,286.0,23.796875,0.0,"AS,NBA1"
3.0,Bob Cousy,23.0,BOS,PG,66.0,2681.0,7.757575757575758,21.03030303030303,0.369,6.196969696969697,7.666666666666667,0.808,421.0,441.0,190.0,21.71212121212121,3.0,"AS,NBA1"
4.0,Ed Macauley,23.0,BOS,C,66.0,2631.0,5.818181818181818,13.454545454545455,0.432,7.515151515151516,9.409090909090908,0.799,529.0,232.0,174.0,19.151515151515152,0.0,"AS,NBA1"
5.0,Bob Davies,32.0,ROC,PG,65.0,2394.0,5.8307692307692305,15.23076923076923,0.383,4.523076923076923,5.8307692307692305,0.776,189.0,390.0,269.0,16.184615384615384,0.0,"AS,NBA1"
6.0,Frankie Brian,28.0,FTW,SG,66.0,2672.0,5.181818181818182,14.727272727272727,0.352,5.5606060606060606,6.5606060606060606,0.848,232.0,233.0,220.0,15.924242424242424,0.0,AS
7.0,Larry Foust,23.0,FTW,C,66.0,2615.0,5.909090909090909,14.984848484848484,0.394,4.045454545454546,5.96969696969697,0.678,880.0,200.0,245.0,15.863636363636363,0.0,"AS,NBA2"
8.0,Bobby Wanzer,30.0,ROC,SG,66.0,2498.0,4.96969696969697,11.696969696969697,0.425,5.712121212121212,6.318181818181818,0.904,333.0,262.0,201.0,15.651515151515152,0.0,"AS,NBA2"
9.0,Arnie Risen,27.0,ROC,C,66.0,2396.0,5.53030303030303,14.030303030303031,0.394,4.575757575757576,6.53030303030303,0.701,841.0,150.0,258.0,15.636363636363637,0.0,AS
10.0,Vern Mikkelsen,23.0,MNL,PF,66.0,2345.0,5.5,13.121212121212121,0.419,4.287878787878788,5.636363636363637,0.761,681.0,180.0,282.0,15.287878787878787,0.0,"AS,NBA2"
11.0,Jim Pollard,29.0,MNL,SF,65.0,2545.0,6.323076923076923,17.76923076923077,0.356,2.8153846153846156,4.0,0.704,593.0,234.0,199.0,15.461538461538462,0.0,"AS,NBA2"
12.0,Fred Scolari,29.0,BLB,PG,64.0,2242.0,4.53125,13.546875,0.334,5.515625,6.609375,0.835,214.0,303.0,213.0,14.578125,0.0,AS
13.0,Max Zaslofsky,26.0,NYK,SG,66.0,2113.0,4.878787878787879,14.515151515151516,0.336,4.348484848484849,5.757575757575758,0.755,194.0,156.0,183.0,14.106060606060606,0.0,AS
14.0,Joe Fulks,30.0,PHW,PF,61.0,1904.0,5.508196721311475,17.672131147540984,0.312,4.098360655737705,4.967213114754099,0.825,368.0,123.0,255.0,15.114754098360656,0.0,AS
15.0,Joe Graboski,22.0,INO,C,66.0,2439.0,4.848484848484849,12.530303030303031,0.387,4.0,6.0,0.667,655.0,130.0,254.0,13.696969696969697,0.0,
16.0,Fred Schaus,26.0,FTW,SF,62.0,2581.0,4.532258064516129,12.548387096774194,0.361,5.0,6.0,0.833,434.0,247.0,221.0,14.064516129032258,0.0,
17.0,Dolph Schayes,23.0,SYR,PF,63.0,2004.0,4.174603174603175,11.746031746031745,0.355,5.428571428571429,6.73015873015873,0.807,773.0,182.0,213.0,13.777777777777779,0.0,"AS,NBA1"
18.0,Red Rocha,28.0,SYR,C,66.0,2543.0,4.545454545454546,11.348484848484848,0.401,3.8484848484848486,5.0,0.77,549.0,128.0,249.0,12.93939393939394,0.0,AS
19.0,Leo Barnhorst,27.0,INO,SF,66.0,2344.0,5.287878787878788,13.590909090909092,0.389,1.8484848484848484,2.8333333333333335,0.652,430.0,255.0,196.0,12.424242424242424,0.0,AS
20.0,Andy Phillip,29.0,PHW,SG,66.0,2933.0,4.2272727272727275,11.545454545454545,0.366,3.515151515151515,4.666666666666667,0.753,434.0,539.0,218.0,11.969696969696969,4.0,"AS,NBA2"
21.0,Don Barksdale,28.0,BLB,PF,62.0,2014.0,4.387096774193548,12.96774193548387,0.338,3.8225806451612905,5.532258064516129,0.691,601.0,137.0,230.0,12.596774193548388,0.0,
22.0,Stan Miasek,28.0,BLB,PF,66.0,2174.0,3.909090909090909,10.712121212121213,0.365,3.984848484848485,5.636363636363637,0.707,639.0,140.0,257.0,11.803030303030303,0.0,
23.0,Don Otten,30.0,2TM,C,64.0,1789.0,3.46875,9.9375,0.349,5.046875,6.53125,0.773,435.0,123.0,218.0,11.984375,0.0,
24.0,Dike Eddleman,29.0,2TM,SF,66.0,1904.0,4.090909090909091,12.318181818181818,0.332,3.0757575757575757,5.03030303030303,0.611,269.0,135.0,252.0,11.257575757575758,0.0,AS
25.0,Harry Gallatin,24.0,NYK,PF,66.0,1931.0,3.5303030303030303,7.984848484848484,0.442,4.166666666666667,5.166666666666667,0.806,661.0,115.0,223.0,11.227272727272727,0.0,AS
26.0,Jack Coleman,27.0,ROC,PF,66.0,2606.0,4.666666666666667,11.242424242424242,0.415,1.8181818181818181,2.5606060606060606,0.71,692.0,208.0,218.0,11.151515151515152,0.0,
27.0,Dick Mehen,29.0,MLH,PF,65.0,2294.0,4.507692307692308,12.676923076923076,0.356,1.8,2.5692307692307694,0.701,282.0,171.0,209.0,10.815384615384616,0.0,
28.0,Bill Sharman,25.0,BOS,SG,63.0,1389.0,3.873015873015873,9.968253968253968,0.389,2.9047619047619047,3.380952380952381,0.859,221.0,151.0,181.0,10.65079365079365,0.0,
30.0,Nat Clifton,29.0,NYK,PF,62.0,2101.0,3.935483870967742,11.758064516129032,0.335,2.7419354838709675,4.129032258064516,0.664,731.0,209.0,227.0,10.612903225806452,0.0,
31.0,George King,23.0,SYR,PG,66.0,1889.0,3.5606060606060606,8.772727272727273,0.406,2.8484848484848486,4.0,0.712,274.0,244.0,199.0,9.969696969696969,0.0,
32.0,Arnie Johnson,31.0,ROC,SF,66.0,2158.0,2.696969696969697,6.2272727272727275,0.433,4.5606060606060606,5.863636363636363,0.778,404.0,182.0,259.0,9.954545454545455,0.0,
33.0,Don Boven,26.0,MLH,SG,66.0,1982.0,3.0303030303030303,10.121212121212121,0.299,3.878787878787879,5.303030303030303,0.731,336.0,177.0,271.0,9.93939393939394,0.0,
34.0,Bob Lavoy,25.0,INO,PF,63.0,1829.0,3.8095238095238093,9.587301587301587,0.397,2.6666666666666665,3.5396825396825395,0.753,479.0,107.0,210.0,10.285714285714286,0.0,
35.0,Connie Simmons,26.0,NYK,C,66.0,1558.0,3.4393939393939394,9.090909090909092,0.378,2.6515151515151514,3.8484848484848486,0.689,471.0,121.0,214.0,9.530303030303031,0.0,
36.0,Slater Martin,26.0,MNL,PG,66.0,2480.0,3.590909090909091,9.575757575757576,0.375,2.1515151515151514,2.878787878787879,0.747,228.0,249.0,226.0,9.333333333333334,0.0,
37.0,Bill Tosheff,25.0,INO,PG,65.0,2055.0,3.276923076923077,10.015384615384615,0.327,2.8,3.4,0.824,216.0,222.0,204.0,9.353846153846154,0.0,ROY-1
38.0,Mel Hutchins,23.0,MLH,C,66.0,2618.0,3.5,9.590909090909092,0.365,2.196969696969697,3.409090909090909,0.644,880.0,190.0,192.0,9.196969696969697,0.0,ROY-1
39.0,Frank Kudelka,26.0,BLB,SF,65.0,1583.0,3.1384615384615384,9.446153846153846,0.332,3.046153846153846,3.9692307692307693,0.767,275.0,183.0,220.0,9.323076923076924,0.0,
40.0,Paul Seymour,24.0,SYR,SG,66.0,2209.0,3.121212121212121,9.318181818181818,0.335,2.8181818181818183,3.712121212121212,0.759,225.0,220.0,165.0,9.06060606060606,0.0,
41.0,Dick McGuire,26.0,NYK,PG,64.0,2018.0,3.1875,7.40625,0.43,2.859375,4.53125,0.631,332.0,388.0,181.0,9.234375,0.0,AS
42.0,Jack Kerris,27.0,FTW,PF,66.0,2148.0,2.8181818181818183,7.2727272727272725,0.388,3.287878787878788,4.924242424242424,0.668,514.0,212.0,265.0,8.924242424242424,0.0,
43.0,Ralph O'Brien,23.0,INO,SG,64.0,1577.0,3.5625,9.578125,0.372,1.90625,2.328125,0.819,122.0,124.0,115.0,9.03125,0.0,
