Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Bob Pettit,23.0,STL,C,72.0,38.8,9.0,20.9,0.429,7.7,10.5,0.736,16.2,2.6,2.8,25.7,"MVP-1,AS,NBA1"
2.0,Paul Arizin,27.0,PHW,SF,72.0,37.8,8.6,19.1,0.448,7.0,8.7,0.81,7.5,2.6,3.9,24.2,"MVP-2,AS,NBA1"
3.0,Neil Johnston,26.0,PHW,C,70.0,37.1,7.1,15.6,0.457,7.8,9.8,0.801,12.5,3.2,3.6,22.1,"AS,NBA1"
4.0,Clyde Lovellette,26.0,MNL,C,71.0,35.5,8.4,19.3,0.434,4.8,6.6,0.721,14.0,2.3,3.5,21.5,"AS,NBA2"
5.0,Dolph Schayes,27.0,SYR,PF,72.0,35.0,6.5,16.7,0.387,7.5,8.8,0.858,12.4,2.8,3.5,20.4,"MVP-5,AS,NBA2"
6.0,Bill Sharman,29.0,BOS,SG,72.0,37.5,7.5,17.1,0.438,5.0,5.7,0.867,3.6,4.7,2.7,19.9,"MVP-5,AS,NBA1"
7.0,Bob Cousy,27.0,BOS,PG,72.0,38.4,6.1,17.0,0.36,6.6,7.8,0.844,6.8,8.9,2.9,18.8,"MVP-3,AS,NBA1"
8.0,Ed Macauley,27.0,BOS,C,71.0,33.2,5.9,14.0,0.422,5.6,7.1,0.794,5.9,3.0,2.2,17.5,AS
9.0,George Yardley,27.0,FTW,SF,71.0,33.1,6.1,15.0,0.407,5.1,6.9,0.742,9.7,2.2,3.0,17.4,AS
10.0,Maurice Stokes,22.0,ROC,C,67.0,34.7,6.0,17.0,0.354,4.8,6.7,0.714,16.3,4.9,4.1,16.8,"MVP-7,ROY-1,AS,NBA2"
11.0,Larry Foust,27.0,FTW,C,72.0,28.1,5.1,11.4,0.447,6.0,7.7,0.778,9.0,1.8,3.7,16.2,AS
12.0,Carl Braun,28.0,NYK,SG,72.0,32.2,5.5,14.8,0.372,4.4,5.3,0.838,3.6,4.1,3.0,15.4,AS
13.0,Joe Graboski,26.0,PHW,PF,72.0,33.0,5.5,14.9,0.369,3.3,4.7,0.706,8.9,2.6,3.8,14.4,
14.0,Jack Twyman,21.0,ROC,SF,72.0,30.4,5.8,13.7,0.422,2.8,4.1,0.685,6.5,2.4,3.3,14.4,
15.0,Jack Nichols,29.0,BOS,PF,60.0,32.7,5.5,13.3,0.413,3.3,4.2,0.791,10.4,2.7,3.8,14.3,
16.0,Harry Gallatin,28.0,NYK,SF,72.0,33.0,4.5,11.6,0.386,5.0,6.3,0.787,10.3,2.3,3.1,13.9,AS
17.0,Jack George,27.0,PHW,PG,72.0,39.4,4.9,13.1,0.374,4.1,5.4,0.757,4.3,6.3,2.8,13.9,"AS,NBA2"
18.0,Chuck Share,28.0,STL,C,72.0,27.4,4.4,10.2,0.43,4.8,6.9,0.695,10.8,1.8,4.4,13.6,
19.0,Vern Mikkelsen,27.0,MNL,PF,72.0,29.2,4.4,11.4,0.386,4.6,5.7,0.804,8.4,2.4,4.4,13.4,AS
20.0,Red Kerr,23.0,SYR,C,72.0,29.4,5.2,13.0,0.403,2.9,4.4,0.655,8.4,1.2,2.3,13.3,AS
21.0,Slater Martin,30.0,MNL,PG,72.0,39.4,4.3,12.0,0.358,4.6,5.5,0.833,3.6,6.2,2.8,13.2,"AS,NBA2"
