Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Oscar Robertson,29.0,CIN,PG,65.0,,42.5,10.2,20.3,0.5,8.9,10.2,0.873,6.0,9.7,3.1,29.2,"MVP-5,AS,NBA1"
2.0,Dave Bing,24.0,DET,PG,79.0,,40.6,10.6,24.0,0.441,6.0,8.5,0.707,4.7,6.4,3.2,27.1,"MVP-4,AS,NBA1"
4.0,Elgin Baylor,33.0,LAL,SF,77.0,,39.3,9.8,22.2,0.443,6.3,8.1,0.786,12.2,4.6,3.0,26.0,"MVP-3,AS,NBA1"
5.0,Wilt Chamberlain,31.0,PHI,C,82.0,,46.8,10.0,16.8,0.595,4.3,11.4,0.38,23.8,8.6,2.0,24.3,"MVP-1,AS,NBA1"
6.0,Earl Monroe,23.0,BAL,SG,82.0,,36.7,9.0,20.0,0.453,6.2,7.9,0.781,5.7,4.3,3.4,24.3,ROY-1
7.0,Hal Greer,31.0,PHI,SG,82.0,,39.8,9.5,19.8,0.478,5.1,6.7,0.769,5.4,4.5,3.5,24.1,"AS,NBA2"
8.0,Walt Hazzard,25.0,SEA,PG,79.0,,33.7,9.3,21.0,0.441,5.4,7.0,0.774,4.2,6.2,3.1,24.0,AS
9.0,Rudy LaRusso,30.0,SFW,PF,79.0,,35.7,7.6,17.6,0.433,6.6,8.4,0.79,9.4,2.3,4.3,21.8,AS
10.0,Bob Boozer,30.0,CHI,PF,77.0,,38.8,8.1,16.4,0.492,5.3,6.9,0.768,9.8,1.6,3.0,21.5,AS
11.0,Jerry Lucas,27.0,CIN,PF,82.0,,44.1,8.6,16.6,0.519,4.2,5.4,0.778,19.0,3.1,3.0,21.5,"AS,NBA1"
12.0,Sam Jones,34.0,BOS,SG,73.0,,33.0,8.5,18.5,0.461,4.3,5.2,0.827,4.9,3.0,2.5,21.3,AS
13.0,Zelmo Beaty,28.0,STL,C,82.0,,37.4,7.8,16.0,0.488,5.5,7.0,0.794,11.7,2.1,3.6,21.1,AS
14.0,Willis Reed,25.0,NYK,PF,81.0,81.0,35.5,8.1,16.6,0.49,4.5,6.3,0.721,13.2,2.0,4.2,20.8,"AS,NBA2"
15.0,John Havlicek,27.0,BOS,SG,82.0,,35.6,8.1,18.9,0.429,4.5,5.5,0.812,6.7,4.7,2.9,20.7,"AS,NBA2"
18.0,Lenny Wilkens,30.0,STL,PG,82.0,,38.6,6.7,15.2,0.438,6.7,8.7,0.768,5.3,8.3,3.1,20.0,"MVP-2,AS"
19.0,Archie Clark,26.0,LAL,PG,81.0,,37.5,7.8,16.2,0.48,4.4,5.9,0.74,4.2,4.4,2.9,19.9,AS
20.0,Bailey Howell,31.0,BOS,PF,82.0,,34.2,7.8,16.3,0.481,4.1,5.6,0.727,9.8,1.6,3.5,19.8,
21.0,Don Kojis,29.0,SDR,SF,69.0,,36.9,7.7,17.2,0.446,4.3,6.0,0.726,10.3,2.6,3.8,19.7,AS
22.0,Gus Johnson,29.0,BAL,SF,60.0,,37.9,8.0,17.2,0.467,3.0,4.5,0.667,13.0,2.7,3.7,19.1,AS
23.0,Fred Hetzel,25.0,SFW,SF,77.0,,31.1,6.9,16.7,0.414,5.1,6.2,0.833,7.1,1.7,3.4,19.0,
24.0,Billy Cunningham,24.0,PHI,SF,74.0,,28.1,7.0,15.9,0.438,5.0,6.9,0.723,7.6,2.5,3.5,18.9,
25.0,Jeff Mullins,25.0,SFW,SG,79.0,,35.5,7.7,17.6,0.439,3.5,4.4,0.794,5.7,4.4,3.4,18.9,
