Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Kareem Abdul-Jabbar,24.0,MIL,C,81.0,,3583.0,14.308641975308642,24.925925925925927,0.574,6.222222222222222,9.037037037037036,0.689,1346.0,370.0,235.0,34.839506172839506,1.0,"MVP-1,AS,NBA1"
2.0,John Havlicek,31.0,BOS,SF,82.0,,3698.0,10.939024390243903,23.865853658536587,0.458,5.585365853658536,6.695121951219512,0.834,672.0,614.0,183.0,27.463414634146343,8.0,"MVP-4,AS,NBA1"
3.0,Tiny Archibald,23.0,CIN,PG,76.0,,3272.0,9.657894736842104,19.88157894736842,0.486,8.907894736842104,10.842105263157896,0.822,222.0,701.0,198.0,28.223684210526315,0.0,"MVP-15,NBA2"
4.0,Gail Goodrich,28.0,LAL,SG,82.0,,3040.0,10.073170731707316,20.670731707317074,0.487,5.7926829268292686,6.817073170731708,0.85,295.0,365.0,210.0,25.9390243902439,0.0,"MVP-21,AS"
5.0,Elvin Hayes,26.0,HOU,C,82.0,,3461.0,10.146341463414634,23.390243902439025,0.434,4.865853658536586,7.5,0.649,1197.0,270.0,233.0,25.158536585365855,1.0,"MVP-17,AS"
6.0,Bob Lanier,23.0,DET,C,80.0,,3092.0,10.425,21.125,0.493,4.85,6.3125,0.768,1132.0,248.0,297.0,25.7,0.0,"MVP-9,AS"
7.0,Bob Love,29.0,CHI,PF,79.0,77.0,3108.0,10.367088607594937,23.468354430379748,0.442,5.050632911392405,6.443037974683544,0.784,518.0,125.0,235.0,25.78481012658228,0.0,"MVP-6,AS,NBA2"
8.0,Sidney Wicks,22.0,POR,PF,82.0,,3245.0,9.560975609756097,22.402439024390244,0.427,5.378048780487805,7.573170731707317,0.71,943.0,350.0,186.0,24.5,0.0,"MVP-17,ROY-1,AS"
9.0,Jerry West,33.0,LAL,PG,77.0,,2973.0,9.545454545454545,20.0,0.477,6.688311688311688,8.220779220779221,0.814,327.0,747.0,209.0,25.77922077922078,0.0,"MVP-2,AS,NBA1"
10.0,Archie Clark,30.0,2TM,PG,77.0,1.0,3285.0,9.246753246753247,19.68831168831169,0.47,6.675324675324675,8.662337662337663,0.771,268.0,613.0,194.0,25.16883116883117,0.0,"MVP-12,AS,NBA2"
