Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,DRtg,Awards
1.0,Elvin Hayes,28.0,CAP,PF,81.0,,3602.0,8.6,20.4,0.423,4.5,6.2,0.721,4.4,13.9,18.3,2.0,1.1,3.0,3.2,21.7,89.0,"MVP-5,AS,NBA2"
2.0,Kareem Abdul-Jabbar,26.0,MIL,C,81.0,,3548.0,12.2,22.6,0.539,3.8,5.4,0.702,3.7,11.4,15.1,5.0,1.4,3.6,3.1,28.1,89.0,"MVP-1,AS,NBA1"
3.0,Dave Cowens,25.0,BOS,C,80.0,,3352.0,8.4,19.2,0.437,3.0,3.6,0.832,3.4,12.9,16.4,4.6,1.2,1.3,3.8,19.8,91.0,"MVP-4,AS"
4.0,Walt Frazier,28.0,NYK,PG,80.0,80.0,3338.0,9.4,19.9,0.472,4.1,4.9,0.838,1.7,5.8,7.4,7.7,2.2,0.2,2.9,22.8,94.0,"MVP-6,AS,NBA1"
5.0,Jim McMillian,25.0,BUF,SF,82.0,,3322.0,7.8,15.7,0.494,4.2,4.9,0.858,2.8,5.1,7.9,3.3,1.7,0.3,2.4,19.7,101.0,
6.0,Bob Love,31.0,CHI,PF,82.0,76.0,3292.0,10.2,24.3,0.417,4.5,5.5,0.818,2.5,4.3,6.8,1.8,1.2,0.4,3.1,24.8,97.0,MVP-15
7.0,Jo Jo White,27.0,BOS,PG,82.0,,3238.0,8.7,19.5,0.449,2.6,3.1,0.837,1.3,3.4,4.7,6.0,1.4,0.3,2.5,20.1,97.0,AS
8.0,Mike Riordan,28.0,CAP,SF,81.0,,3230.0,8.1,17.1,0.472,1.9,2.4,0.782,1.7,3.6,5.3,3.7,1.4,0.2,3.3,18.0,97.0,
9.0,Rudy Tomjanovich,25.0,HOU,SF,80.0,,3227.0,11.0,20.6,0.536,5.4,6.4,0.848,3.2,6.8,10.0,3.5,1.2,0.9,3.2,27.5,101.0,"MVP-17,AS"
10.0,Bob McAdoo,22.0,BUF,C,74.0,,3185.0,12.2,22.2,0.547,6.2,7.8,0.793,3.8,11.3,15.1,2.3,1.2,3.3,3.4,30.5,95.0,"MVP-2,AS,NBA2"
11.0,Dave Bing,30.0,DET,PG,81.0,,3124.0,8.4,19.3,0.436,5.1,6.3,0.813,1.6,2.5,4.1,8.0,1.6,0.2,3.1,21.9,98.0,"MVP-11,AS,NBA2"
12.0,Sam Lacey,25.0,KCO,C,79.0,,3107.0,6.8,14.3,0.476,2.7,3.6,0.749,4.3,11.1,15.4,4.4,1.8,2.7,3.7,16.3,94.0,
13.0,Austin Carr,25.0,CLE,SG,81.0,,3100.0,11.1,25.0,0.445,4.2,4.8,0.856,2.1,2.2,4.3,4.5,1.4,0.2,2.8,26.4,103.0,AS
14.0,John Havlicek,33.0,BOS,SF,76.0,,3091.0,9.7,21.2,0.456,4.9,5.9,0.832,1.9,4.9,6.9,6.3,1.3,0.5,2.8,24.2,96.0,"MVP-9,AS,NBA1"
15.0,Gail Goodrich,30.0,LAL,SG,82.0,,3061.0,11.0,24.9,0.442,7.1,8.3,0.864,1.3,2.2,3.5,6.0,1.8,0.2,3.2,29.1,101.0,"AS,NBA1"
16.0,Bob Lanier,25.0,DET,C,81.0,,3047.0,11.1,21.9,0.504,4.8,6.0,0.797,4.0,11.9,15.9,5.1,1.6,3.7,4.0,26.9,88.0,"MVP-3,AS"
17.0,Fred Carter,28.0,PHI,SG,78.0,78.0,3044.0,10.3,23.9,0.43,3.7,5.2,0.709,1.2,4.2,5.4,6.4,1.6,0.3,4.0,24.3,101.0,
18.0,Tom Van Arsdale,30.0,PHI,SF,78.0,78.0,3041.0,8.9,20.9,0.428,4.3,5.1,0.851,1.3,4.4,5.7,2.9,0.9,0.0,4.4,22.2,102.0,
19.0,Spencer Haywood,24.0,SEA,PF,75.0,,3039.0,9.9,21.8,0.457,5.3,6.6,0.814,4.6,9.9,14.4,3.4,0.9,1.5,2.8,25.2,97.0,"MVP-17,AS,NBA2"
20.0,Steve Mix,26.0,PHI,PF,82.0,82.0,2969.0,7.4,15.6,0.475,3.4,4.3,0.792,4.6,8.3,12.9,2.3,3.2,0.6,4.6,18.2,94.0,
21.0,Jimmy Walker,29.0,2TM,SG,75.0,,2958.0,8.9,19.0,0.469,4.2,5.1,0.82,0.6,2.5,3.1,4.7,1.2,0.1,2.6,22.0,104.0,
22.0,Phil Chenier,23.0,CAP,SG,76.0,,2942.0,10.7,24.7,0.434,4.2,5.1,0.82,1.7,4.2,6.0,3.7,2.4,1.0,2.1,25.6,94.0,"MVP-11,AS"
23.0,Calvin Murphy,25.0,HOU,PG,81.0,,2922.0,10.4,19.9,0.522,4.8,5.5,0.868,0.8,2.1,2.9,9.3,2.4,0.1,4.8,25.6,102.0,
24.0,Elmore Smith,24.0,LAL,C,81.0,,2922.0,6.4,14.0,0.457,2.2,3.7,0.59,3.0,10.3,13.3,2.2,1.0,5.8,4.5,14.9,92.0,
25.0,Rick Barry,29.0,GSW,SF,80.0,,2918.0,12.0,26.4,0.456,6.3,7.0,0.899,1.6,6.6,8.2,7.3,2.6,0.6,4.0,30.3,97.0,"MVP-7,AS,NBA1"
26.0,Ernie DiGregorio,23.0,BUF,PG,81.0,,2910.0,7.8,18.6,0.421,2.6,2.9,0.902,0.7,2.5,3.2,9.8,0.9,0.1,3.6,18.2,105.0,ROY-1
27.0,Pete Maravich,26.0,ATL,SG,76.0,,2903.0,12.2,26.7,0.457,7.0,8.5,0.826,1.5,4.1,5.6,5.9,1.7,0.2,3.9,31.4,101.0,"MVP-17,AS"
28.0,Gar Heard,25.0,BUF,PF,81.0,,2889.0,7.8,17.9,0.435,2.8,4.4,0.65,4.0,10.1,14.1,2.7,2.0,3.4,4.5,18.4,94.0,
29.0,Norm Van Lier,26.0,CHI,PG,80.0,78.0,2863.0,6.8,16.8,0.406,4.6,5.9,0.778,1.8,4.2,6.0,8.8,2.6,0.1,4.5,18.2,94.0,"MVP-9,AS,NBA2"
30.0,Jerry Sloan,31.0,CHI,SG,77.0,77.0,2860.0,6.6,14.7,0.447,3.1,4.4,0.711,2.4,6.5,8.9,2.4,2.9,0.2,4.4,16.3,92.0,
31.0,Sidney Wicks,24.0,POR,PF,75.0,,2853.0,10.6,23.1,0.459,4.9,6.4,0.762,3.0,7.6,10.6,5.1,1.4,1.0,3.3,26.1,102.0,AS
32.0,Dick Van Arsdale,30.0,PHO,SG,78.0,,2832.0,8.0,15.9,0.5,5.6,6.5,0.853,1.0,2.4,3.4,5.0,1.5,0.3,3.7,21.5,104.0,
33.0,Leroy Ellis,33.0,PHI,C,81.0,81.0,2831.0,5.1,11.3,0.452,2.3,3.1,0.75,4.6,9.4,13.9,3.0,1.3,1.4,3.5,12.5,97.0,
34.0,Bill Bradley,30.0,NYK,SF,82.0,82.0,2813.0,8.3,18.3,0.451,2.4,2.8,0.874,1.0,3.2,4.2,4.0,0.7,0.3,4.6,19.0,99.0,
35.0,Geoff Petrie,25.0,POR,PG,73.0,,2800.0,11.7,24.3,0.481,4.6,5.4,0.853,1.0,2.3,3.3,5.0,1.3,0.2,3.1,28.0,107.0,AS
36.0,Connie Hawkins,31.0,2TM,SF,79.0,,2761.0,6.3,12.6,0.501,3.0,3.9,0.761,2.7,6.1,8.8,6.3,1.8,1.3,3.5,15.6,97.0,
37.0,Randy Smith,25.0,BUF,SG,82.0,,2745.0,8.3,16.9,0.492,3.2,4.5,0.712,1.4,3.6,4.9,6.0,3.2,0.1,4.1,19.9,99.0,
38.0,Dave DeBusschere,33.0,NYK,PF,71.0,71.0,2699.0,9.6,20.8,0.461,2.8,3.7,0.756,2.3,10.7,13.0,4.3,1.2,0.7,3.8,22.0,93.0,"MVP-11,AS"
39.0,Dick Snyder,29.0,SEA,SG,74.0,,2670.0,9.3,19.4,0.481,3.2,3.7,0.866,1.5,3.5,5.0,4.3,1.5,0.4,4.2,21.8,101.0,
40.0,Chet Walker,33.0,CHI,SF,82.0,82.0,2661.0,9.8,20.2,0.486,7.5,8.6,0.875,2.3,4.7,7.0,3.4,1.2,0.1,3.5,27.2,96.0,AS
41.0,Larry Steele,24.0,POR,SG,81.0,,2648.0,5.4,11.4,0.478,2.3,2.9,0.789,1.5,3.7,5.2,5.4,3.6,0.5,4.9,13.1,101.0,
