Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Trp-Dbl,Awards
1.0,Bob McAdoo,22.0,BUF,C,74.0,,3185.0,12.175675675675675,22.256756756756758,0.547,6.202702702702703,7.824324324324325,0.793,281.0,836.0,1117.0,170.0,88.0,246.0,252.0,30.554054054054053,0.0,"MVP-2,AS,NBA2"
2.0,Kareem Abdul-Jabbar,26.0,MIL,C,81.0,,3548.0,11.703703703703704,21.71604938271605,0.539,3.6419753086419755,5.185185185185185,0.702,287.0,891.0,1178.0,386.0,112.0,283.0,238.0,27.049382716049383,3.0,"MVP-1,AS,NBA1"
3.0,Pete Maravich,26.0,ATL,SG,76.0,,2903.0,10.776315789473685,23.56578947368421,0.457,6.171052631578948,7.473684210526316,0.826,98.0,276.0,374.0,396.0,111.0,13.0,261.0,27.723684210526315,0.0,"MVP-17,AS"
4.0,Gail Goodrich,30.0,LAL,SG,82.0,,3061.0,9.560975609756097,21.621951219512194,0.442,6.195121951219512,7.170731707317073,0.864,95.0,155.0,250.0,427.0,126.0,12.0,227.0,25.317073170731707,0.0,"AS,NBA1"
5.0,Rick Barry,29.0,GSW,SF,80.0,,2918.0,9.95,21.825,0.456,5.2125,5.8,0.899,103.0,437.0,540.0,484.0,169.0,40.0,265.0,25.1125,0.0,"MVP-7,AS,NBA1"
6.0,Rudy Tomjanovich,25.0,HOU,SF,80.0,,3227.0,9.85,18.375,0.536,4.8125,5.675,0.848,230.0,487.0,717.0,250.0,89.0,66.0,230.0,24.5125,0.0,"MVP-17,AS"
7.0,Bob Lanier,25.0,DET,C,81.0,,3047.0,9.234567901234568,18.308641975308642,0.504,4.0246913580246915,5.049382716049383,0.797,269.0,805.0,1074.0,343.0,110.0,247.0,273.0,22.493827160493826,3.0,"MVP-3,AS"
8.0,Bob Love,31.0,CHI,PF,82.0,76.0,3292.0,8.914634146341463,21.365853658536587,0.417,3.9390243902439024,4.817073170731708,0.818,183.0,309.0,492.0,130.0,84.0,28.0,221.0,21.76829268292683,0.0,MVP-15
9.0,Austin Carr,25.0,CLE,SG,81.0,,3100.0,9.234567901234568,20.765432098765434,0.445,3.4444444444444446,4.0246913580246915,0.856,139.0,150.0,289.0,305.0,92.0,14.0,189.0,21.91358024691358,0.0,AS
10.0,Geoff Petrie,25.0,POR,PG,73.0,,2800.0,10.136986301369863,21.054794520547944,0.481,3.9863013698630136,4.671232876712328,0.853,64.0,144.0,208.0,315.0,84.0,15.0,199.0,24.26027397260274,0.0,AS
11.0,Spencer Haywood,24.0,SEA,PF,75.0,,3039.0,9.253333333333334,20.266666666666666,0.457,4.973333333333334,6.1066666666666665,0.814,318.0,689.0,1007.0,240.0,65.0,106.0,198.0,23.48,0.0,"MVP-17,AS,NBA2"
12.0,Elvin Hayes,28.0,CAP,PF,81.0,,3602.0,8.506172839506172,20.08641975308642,0.423,4.407407407407407,6.111111111111111,0.721,354.0,1109.0,1463.0,163.0,86.0,240.0,252.0,21.419753086419753,0.0,"MVP-5,AS,NBA2"
13.0,John Havlicek,33.0,BOS,SF,76.0,,3091.0,9.013157894736842,19.763157894736842,0.456,4.552631578947368,5.473684210526316,0.832,138.0,349.0,487.0,447.0,95.0,32.0,196.0,22.57894736842105,3.0,"MVP-9,AS,NBA1"
14.0,Cazzie Russell,29.0,GSW,SF,82.0,,2574.0,9.0,18.670731707317074,0.482,2.5365853658536586,3.0365853658536586,0.835,142.0,211.0,353.0,192.0,54.0,17.0,194.0,20.536585365853657,0.0,
15.0,Sidney Wicks,24.0,POR,PF,75.0,,2853.0,9.133333333333333,19.893333333333334,0.459,4.1866666666666665,5.493333333333333,0.762,196.0,488.0,684.0,326.0,90.0,63.0,214.0,22.453333333333333,2.0,AS
16.0,Phil Chenier,23.0,CAP,SG,76.0,,2942.0,9.171052631578947,21.144736842105264,0.434,3.6052631578947367,4.394736842105263,0.82,114.0,274.0,388.0,239.0,155.0,67.0,135.0,21.94736842105263,0.0,"MVP-11,AS"
17.0,Fred Carter,28.0,PHI,SG,78.0,78.0,3044.0,9.051282051282051,21.03846153846154,0.43,3.2564102564102564,4.589743589743589,0.709,82.0,289.0,371.0,443.0,113.0,23.0,276.0,21.358974358974358,0.0,
18.0,Calvin Murphy,25.0,HOU,PG,81.0,,2922.0,8.283950617283951,15.864197530864198,0.522,3.8271604938271606,4.407407407407407,0.868,51.0,137.0,188.0,603.0,157.0,4.0,310.0,20.395061728395063,0.0,
19.0,Lou Hudson,29.0,ATL,SF,65.0,,2588.0,10.430769230769231,20.861538461538462,0.5,4.538461538461538,5.430769230769231,0.836,126.0,224.0,350.0,213.0,160.0,29.0,205.0,25.4,0.0,AS
20.0,Walt Frazier,28.0,NYK,PG,80.0,80.0,3338.0,8.425,17.8625,0.472,3.6875,4.4,0.838,120.0,416.0,536.0,551.0,161.0,15.0,212.0,20.5375,2.0,"MVP-6,AS,NBA1"
21.0,Chet Walker,33.0,CHI,SF,82.0,82.0,2661.0,6.975609756097561,14.365853658536585,0.486,5.353658536585366,6.121951219512195,0.875,131.0,275.0,406.0,200.0,68.0,4.0,201.0,19.304878048780488,0.0,AS
