Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,George Gervin,25.0,SAS,SG,82.0,82.0,2857.0,10.536585365853659,19.646341463414632,0.536,6.146341463414634,7.402439024390244,0.83,118.0,302.0,420.0,302.0,136.0,110.0,306.0,255.0,27.21951219512195,0.0,"MVP-2,AS,NBA1"
2.0,David Thompson,23.0,DEN,SG,80.0,,3025.0,10.325,19.8,0.521,6.5,8.35,0.778,156.0,234.0,390.0,362.0,92.0,99.0,245.0,213.0,27.15,0.0,"MVP-3,AS,NBA1"
3.0,Bob McAdoo,26.0,NYK,C,79.0,78.0,3182.0,10.30379746835443,19.79746835443038,0.52,5.936708860759493,8.164556962025317,0.727,236.0,774.0,1010.0,298.0,105.0,126.0,346.0,297.0,26.544303797468356,0.0,"MVP-10,AS"
4.0,Randy Smith,29.0,BUF,SG,82.0,82.0,3314.0,9.621951219512194,20.695121951219512,0.465,5.402439024390244,6.7560975609756095,0.8,110.0,200.0,310.0,458.0,172.0,11.0,286.0,224.0,24.646341463414632,0.0,AS
5.0,Paul Westphal,27.0,PHO,SG,80.0,,2481.0,10.1125,19.6,0.516,4.95,6.0875,0.813,41.0,123.0,164.0,437.0,138.0,31.0,280.0,162.0,25.175,0.0,"MVP-6,AS,NBA2"
6.0,Walter Davis,23.0,PHO,SF,81.0,,2590.0,9.703703703703704,18.444444444444443,0.526,4.777777777777778,5.753086419753086,0.83,158.0,326.0,484.0,273.0,113.0,20.0,283.0,242.0,24.185185185185187,0.0,"MVP-5,ROY-1,AS,NBA2"
7.0,Calvin Murphy,29.0,HOU,SG,76.0,,2900.0,11.210526315789474,22.855263157894736,0.491,3.223684210526316,3.513157894736842,0.918,57.0,107.0,164.0,259.0,112.0,3.0,173.0,241.0,25.644736842105264,0.0,
8.0,Bernard King,21.0,NJN,SF,79.0,,3092.0,10.10126582278481,21.075949367088608,0.479,3.962025316455696,5.848101265822785,0.677,265.0,486.0,751.0,193.0,122.0,36.0,311.0,302.0,24.164556962025316,0.0,ROY-3
9.0,Rick Barry,33.0,GSW,SF,82.0,82.0,3024.0,9.268292682926829,20.5609756097561,0.451,4.609756097560975,4.987804878048781,0.924,75.0,374.0,449.0,446.0,158.0,45.0,224.0,188.0,23.146341463414632,0.0,AS
10.0,Artis Gilmore,28.0,CHI,C,82.0,82.0,3067.0,8.585365853658537,15.365853658536585,0.559,5.7439024390243905,8.158536585365853,0.704,318.0,753.0,1071.0,263.0,42.0,181.0,366.0,261.0,22.914634146341463,1.0,"MVP-8,AS"
11.0,Truck Robinson,26.0,NOJ,PF,82.0,82.0,3638.0,9.121951219512194,20.524390243902438,0.444,4.463414634146342,6.975609756097561,0.64,298.0,990.0,1288.0,171.0,73.0,79.0,301.0,265.0,22.70731707317073,0.0,"MVP-8,AS,NBA1"
12.0,John Williamson,26.0,2TM,SG,75.0,,2731.0,9.64,21.986666666666668,0.438,4.413333333333333,5.213333333333333,0.847,66.0,161.0,227.0,214.0,94.0,10.0,228.0,236.0,23.69333333333333,0.0,
13.0,Dan Issel,29.0,DEN,C,82.0,,2851.0,8.036585365853659,15.695121951219512,0.512,5.219512195121951,6.670731707317073,0.782,253.0,577.0,830.0,304.0,100.0,41.0,259.0,279.0,21.29268292682927,0.0,
14.0,Adrian Dantley,22.0,2TM,SF,79.0,,2933.0,7.3164556962025316,14.278481012658228,0.512,6.848101265822785,8.60759493670886,0.796,265.0,355.0,620.0,253.0,118.0,24.0,228.0,233.0,21.481012658227847,0.0,
15.0,Larry Kenon,25.0,SAS,SF,81.0,,2869.0,8.617283950617283,17.604938271604937,0.489,3.4074074074074074,3.9876543209876543,0.854,245.0,528.0,773.0,268.0,115.0,24.0,279.0,209.0,20.641975308641975,0.0,AS
16.0,John Drew,23.0,ATL,SF,70.0,,2203.0,8.471428571428572,17.65714285714286,0.48,6.242857142857143,8.214285714285714,0.76,213.0,298.0,511.0,141.0,119.0,27.0,210.0,247.0,23.185714285714287,0.0,
17.0,Phil Smith,25.0,GSW,SG,82.0,82.0,2940.0,7.902439024390244,16.74390243902439,0.472,3.8536585365853657,4.7439024390243905,0.812,100.0,200.0,300.0,393.0,108.0,27.0,266.0,219.0,19.658536585365855,0.0,
