Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,George Gervin,26.0,SAS,SF,80.0,,36.1,11.8,21.9,0.541,5.9,7.1,0.826,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6,"MVP-2,AS,NBA1"
2.0,World B. Free,25.0,SDC,PG,78.0,,37.9,10.2,21.2,0.481,8.4,11.1,0.756,1.6,2.2,3.9,4.4,1.4,0.4,3.8,3.2,28.8,"MVP-6,NBA2"
3.0,Marques Johnson,22.0,MIL,SF,77.0,,36.1,10.6,19.4,0.55,4.3,5.7,0.76,2.8,4.9,7.6,3.0,1.5,1.2,2.2,2.4,25.6,"AS,NBA1"
4.0,Bob McAdoo,27.0,2TM,C,60.0,32.0,37.2,9.9,18.8,0.529,4.9,7.5,0.656,2.2,6.5,8.7,2.8,1.2,1.1,3.6,3.2,24.8,
5.0,Moses Malone,23.0,HOU,C,82.0,82.0,41.3,8.7,16.2,0.54,7.3,9.9,0.739,7.2,10.5,17.6,1.8,1.0,1.5,4.0,2.7,24.8,"MVP-1,AS,NBA1"
6.0,David Thompson,24.0,DEN,SG,76.0,,35.1,9.1,17.8,0.512,5.8,7.7,0.753,1.4,2.2,3.6,3.0,0.9,1.1,2.4,2.4,24.0,"MVP-8,AS"
7.0,Paul Westphal,28.0,PHO,SG,81.0,,32.6,9.9,18.5,0.535,4.2,5.0,0.837,0.4,1.5,2.0,6.5,1.4,0.3,2.9,2.0,24.0,"AS,NBA1"
8.0,Kareem Abdul-Jabbar,31.0,LAL,C,80.0,,39.5,9.7,16.8,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,"MVP-4,AS,NBA2"
9.0,Artis Gilmore,29.0,CHI,C,82.0,82.0,39.8,9.2,16.0,0.575,5.3,7.2,0.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7,AS
10.0,Walter Davis,24.0,PHO,SF,79.0,,30.8,9.7,17.2,0.561,4.3,5.2,0.831,1.4,3.3,4.7,4.3,1.9,0.3,3.7,3.2,23.6,"MVP-10,AS,NBA2"
