Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Moses Malone,23.0,HOU,C,82.0,82.0,3390.0,9.8,18.1,0.54,8.2,11.1,0.739,8.0,11.7,19.7,2.0,1.1,1.6,4.4,3.0,27.7,117.0,104.0,"MVP-1,AS,NBA1"
2.0,Artis Gilmore,29.0,CHI,C,82.0,82.0,3265.0,10.8,18.7,0.575,6.2,8.4,0.739,4.2,10.7,14.9,3.9,0.7,2.2,4.4,4.0,27.7,114.0,102.0,AS
3.0,M.L. Carr,28.0,DET,SF,80.0,,3207.0,8.2,16.0,0.514,4.5,6.1,0.743,3.1,5.2,8.2,3.7,2.8,0.6,3.6,3.9,20.9,107.0,104.0,
4.0,Kareem Abdul-Jabbar,31.0,LAL,C,80.0,,3157.0,11.2,19.3,0.577,5.0,6.8,0.736,3.0,11.7,14.7,6.2,1.1,4.5,4.0,3.3,27.3,115.0,98.0,"MVP-4,AS,NBA2"
5.0,Norm Nixon,23.0,LAL,PG,82.0,82.0,3145.0,9.0,16.6,0.542,2.3,2.9,0.775,0.7,2.6,3.3,10.6,2.9,0.2,3.3,3.6,20.2,112.0,104.0,
6.0,Randy Smith,30.0,SDC,SG,82.0,82.0,3111.0,10.1,22.1,0.455,4.2,5.2,0.813,1.5,2.8,4.3,5.7,2.6,0.1,3.7,2.6,24.4,106.0,109.0,
7.0,Elvin Hayes,33.0,WSB,PF,82.0,,3105.0,10.5,21.4,0.487,5.1,7.8,0.654,4.5,9.9,14.4,2.1,1.1,2.8,3.4,4.5,26.0,106.0,99.0,"MVP-3,AS,NBA1"
8.0,John Lucas,25.0,GSW,PG,82.0,82.0,3095.0,8.0,17.4,0.462,4.0,4.9,0.822,1.0,2.8,3.7,11.6,2.3,0.1,3.9,3.5,20.1,107.0,104.0,
9.0,Kevin Porter,28.0,DET,PG,82.0,82.0,3064.0,7.8,16.2,0.481,2.8,3.9,0.722,0.9,2.1,3.1,16.1,2.3,0.1,4.9,4.4,18.4,106.0,107.0,
10.0,Johnny Davis,23.0,IND,PG,79.0,,2971.0,8.7,19.0,0.456,4.8,6.1,0.793,1.1,1.9,2.9,6.9,1.5,0.3,3.3,2.7,22.1,105.0,108.0,
11.0,Cedric Maxwell,23.0,BOS,SF,80.0,,2969.0,7.2,12.3,0.584,8.7,10.9,0.802,4.1,7.9,12.0,3.5,1.5,1.1,4.1,4.0,23.1,121.0,105.0,
12.0,Jack Sikma,23.0,SEA,C,82.0,82.0,2958.0,7.5,16.2,0.46,5.2,6.3,0.814,3.6,12.3,15.9,4.1,1.3,1.1,4.0,4.6,20.1,104.0,97.0,"MVP-7,AS"
13.0,World B. Free,25.0,SDC,PG,78.0,,2954.0,12.2,25.3,0.481,10.0,13.2,0.756,1.9,2.7,4.6,5.2,1.7,0.5,4.5,3.9,34.3,113.0,110.0,"MVP-6,NBA2"
14.0,Larry Kenon,26.0,SAS,PF,81.0,,2947.0,11.0,21.9,0.504,4.3,5.1,0.845,3.8,7.8,11.6,4.9,2.3,0.3,4.4,2.8,26.4,106.0,101.0,AS
15.0,Calvin Murphy,30.0,HOU,PG,82.0,,2941.0,11.1,22.4,0.496,3.9,4.2,0.928,1.2,1.5,2.7,5.5,1.8,0.1,2.9,4.5,26.1,111.0,110.0,AS
16.0,Jamaal Wilkes,25.0,LAL,SF,82.0,82.0,2915.0,9.7,19.3,0.504,4.2,5.6,0.751,2.6,6.9,9.5,3.5,2.1,0.4,3.5,4.3,23.7,104.0,103.0,
17.0,Sonny Parker,23.0,GSW,SF,79.0,,2893.0,8.3,16.5,0.502,2.8,3.6,0.788,2.7,4.5,7.2,4.7,2.3,0.5,3.1,3.0,19.5,106.0,102.0,
18.0,George Gervin,26.0,SAS,SF,80.0,,2888.0,14.2,26.3,0.541,7.1,8.6,0.826,2.1,3.9,6.0,3.3,2.1,1.4,4.3,4.1,35.6,112.0,103.0,"MVP-2,AS,NBA1"
19.0,Bernard King,22.0,NJN,SF,82.0,,2859.0,10.9,20.8,0.522,5.4,9.5,0.564,3.8,6.4,10.3,4.5,1.8,0.6,5.0,5.0,27.1,102.0,102.0,
20.0,Campy Russell,27.0,CLE,SF,74.0,,2859.0,9.9,20.7,0.476,6.8,8.6,0.797,2.4,5.8,8.2,5.7,1.6,0.4,4.2,3.6,26.5,107.0,108.0,AS
21.0,Jim Chones,29.0,CLE,C,82.0,82.0,2850.0,7.7,17.6,0.44,2.6,3.5,0.735,4.3,9.5,13.8,3.0,0.8,1.7,3.1,4.6,18.1,98.0,106.0,
22.0,Otis Birdsong,23.0,KCK,SG,82.0,82.0,2839.0,11.7,23.0,0.509,4.7,6.4,0.725,2.8,2.8,5.6,4.4,2.0,0.3,3.2,4.0,28.0,109.0,104.0,AS
23.0,Ricky Sobers,26.0,IND,SG,81.0,,2825.0,8.9,19.3,0.463,4.8,5.5,0.882,1.9,3.0,4.9,7.3,2.2,0.4,4.9,5.1,22.6,101.0,106.0,
24.0,Julius Erving,28.0,PHI,SF,78.0,76.0,2802.0,11.5,23.4,0.491,6.0,8.0,0.745,3.2,5.9,9.1,5.7,2.1,1.6,5.1,3.3,28.9,103.0,100.0,AS
25.0,Tom Owens,29.0,POR,C,82.0,82.0,2791.0,10.0,18.2,0.548,5.3,6.7,0.794,4.4,7.9,12.3,5.0,1.0,1.0,4.1,5.5,25.3,115.0,104.0,
26.0,Marques Johnson,22.0,MIL,SF,77.0,,2779.0,13.3,24.2,0.55,5.4,7.1,0.76,3.4,6.1,9.5,3.8,1.9,1.4,2.8,3.0,32.0,117.0,103.0,"AS,NBA1"
27.0,Kermit Washington,27.0,SDC,PF,82.0,,2764.0,5.7,10.2,0.562,3.7,5.4,0.688,4.8,8.2,13.1,2.0,1.4,2.0,3.0,5.2,15.1,115.0,106.0,
28.0,Reggie Theus,21.0,CHI,PG,82.0,80.0,2753.0,9.1,19.0,0.48,4.5,5.9,0.761,1.6,2.3,3.9,7.3,1.6,0.3,5.1,4.6,22.7,99.0,107.0,ROY-2
29.0,Dan Issel,30.0,DEN,C,81.0,,2742.0,8.8,17.0,0.517,5.2,6.9,0.754,4.0,8.2,12.2,4.2,1.0,0.8,2.8,3.9,22.8,116.0,103.0,
30.0,Chris Ford,30.0,2TM,SG,81.0,,2737.0,8.9,18.8,0.471,2.8,3.7,0.758,2.0,2.5,4.5,6.2,1.9,0.4,3.5,3.4,20.6,102.0,108.0,
31.0,Phil Ford,22.0,KCK,PG,79.0,,2723.0,7.7,16.5,0.465,5.4,6.6,0.813,0.5,2.4,3.0,11.2,2.9,0.1,5.3,4.0,20.7,102.0,103.0,"MVP-8,ROY-1,NBA2"
32.0,Dennis Johnson,24.0,SEA,SG,80.0,,2717.0,8.2,19.0,0.434,5.2,6.7,0.781,2.5,3.9,6.4,4.8,1.7,1.7,3.3,3.6,21.7,103.0,101.0,AS
33.0,Austin Carr,30.0,CLE,SG,82.0,,2714.0,9.5,20.0,0.475,5.0,6.2,0.816,2.7,2.3,5.0,3.7,1.3,0.2,3.0,3.6,24.0,108.0,111.0,
34.0,Rich Kelley,25.0,NOJ,C,80.0,,2705.0,7.2,14.2,0.506,6.1,7.5,0.814,5.0,11.8,16.8,4.7,2.1,2.7,4.7,5.1,20.5,108.0,99.0,
35.0,Jim McElroy,25.0,NOJ,PG,79.0,,2698.0,8.8,18.0,0.491,4.2,5.6,0.762,1.0,2.5,3.5,7.4,2.4,0.8,3.9,3.0,21.9,104.0,107.0,
36.0,Alex English,25.0,IND,SF,81.0,,2696.0,9.5,18.6,0.511,2.9,3.9,0.752,4.3,6.8,11.1,4.6,1.2,1.3,3.3,3.6,22.0,108.0,104.0,
37.0,David Thompson,24.0,DEN,SG,76.0,,2670.0,11.8,23.0,0.512,7.5,9.9,0.753,1.9,2.8,4.7,3.8,1.2,1.4,3.2,3.1,31.0,114.0,106.0,"MVP-8,AS"
38.0,Toby Knight,23.0,NYK,SF,82.0,70.0,2667.0,10.5,20.1,0.519,2.5,3.5,0.704,3.4,6.0,9.4,2.1,1.0,1.0,2.8,5.3,23.4,107.0,106.0,
39.0,Nick Weatherspoon,28.0,SDC,SF,82.0,,2642.0,8.2,17.1,0.48,3.0,4.1,0.739,3.1,4.7,7.8,2.3,1.4,0.6,3.1,4.9,19.4,105.0,109.0,
