Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Michael Jordan,27.0,CHI,SG,82.0,82.0,37.0,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7.0,8.2,0.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,"MVP-1,DPOY-7,AS,NBA1"
2.0,Karl Malone,27.0,UTA,PF,82.0,82.0,40.3,10.3,19.6,0.527,0.0,0.2,0.286,10.3,19.4,0.529,0.528,8.3,10.8,0.77,2.9,8.9,11.8,3.3,1.1,1.0,3.0,3.3,29.0,"MVP-5,AS,NBA1"
3.0,Bernard King,34.0,WSB,SF,64.0,64.0,37.5,11.1,23.6,0.472,0.1,0.6,0.216,11.0,23.0,0.478,0.475,6.0,7.6,0.79,1.8,3.2,5.0,4.6,0.9,0.3,4.0,2.9,28.4,"MVP-16,AS,NBA3"
4.0,Charles Barkley,27.0,PHI,SF,67.0,67.0,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,"MVP-4,AS,NBA1"
5.0,Patrick Ewing,28.0,NYK,C,81.0,81.0,38.3,10.4,20.3,0.514,0.0,0.1,0.0,10.4,20.2,0.516,0.514,5.7,7.7,0.745,2.4,8.8,11.2,3.0,1.0,3.2,3.6,3.5,26.6,"MVP-11,DPOY-7,AS,NBA2"
6.0,Michael Adams,28.0,DEN,PG,66.0,66.0,35.5,8.5,21.5,0.394,2.5,8.5,0.296,6.0,13.0,0.459,0.453,7.0,8.0,0.879,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5,
7.0,Dominique Wilkins,31.0,ATL,SF,81.0,81.0,38.0,9.5,20.2,0.47,1.0,3.1,0.341,8.5,17.2,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9.0,3.3,1.5,0.8,2.5,1.9,25.9,"MVP-8,AS,NBA2"
8.0,Chris Mullin,27.0,GSW,SF,82.0,82.0,40.4,9.5,17.7,0.536,0.5,1.6,0.301,9.0,16.0,0.56,0.55,6.3,7.1,0.884,1.7,3.7,5.4,4.0,2.1,0.8,3.0,2.1,25.7,"AS,NBA2"
9.0,David Robinson,25.0,SAS,C,82.0,81.0,37.7,9.2,16.7,0.552,0.0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13.0,2.5,1.5,3.9,3.3,3.2,25.6,"MVP-3,DPOY-2,AS,NBA1"
11.0,Mitch Richmond,25.0,GSW,SG,77.0,77.0,39.3,9.1,18.5,0.494,0.5,1.5,0.348,8.6,17.0,0.506,0.508,5.1,6.0,0.847,1.9,4.0,5.9,3.1,1.6,0.4,3.0,2.7,23.9,
12.0,Tim Hardaway,24.0,GSW,PG,82.0,82.0,39.2,9.0,18.9,0.476,1.2,3.1,0.385,7.8,15.8,0.494,0.508,3.7,4.6,0.803,1.1,3.0,4.0,9.7,2.6,0.1,3.3,2.8,22.9,"MVP-19,AS"
13.0,Reggie Miller,25.0,IND,SG,82.0,82.0,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1.0,2.4,3.4,4.0,1.3,0.2,2.0,2.0,22.6,
14.0,Kevin Johnson,24.0,PHO,PG,77.0,76.0,36.0,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8.0,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,"MVP-7,AS,NBA2"
15.0,Hersey Hawkins,24.0,PHI,SG,80.0,80.0,38.9,7.4,15.6,0.472,1.4,3.4,0.4,6.0,12.3,0.491,0.515,6.0,6.9,0.871,0.6,3.3,3.9,3.7,2.2,0.5,2.7,2.3,22.1,AS
16.0,Tony Campbell,28.0,MIN,SG,77.0,71.0,37.6,8.5,19.5,0.434,0.2,0.8,0.262,8.3,18.7,0.441,0.439,4.6,5.8,0.803,2.1,2.4,4.5,2.8,1.6,0.6,2.5,2.6,21.8,
17.0,Brad Daugherty,25.0,CLE,C,76.0,76.0,38.8,8.0,15.2,0.524,0.0,0.0,0.0,8.0,15.2,0.525,0.524,5.7,7.6,0.751,2.3,8.6,10.9,3.3,1.0,0.6,2.8,2.5,21.6,AS
