Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Michael Finley,24.0,DAL,SF,82.0,82.0,3394.0,10.6,23.7,0.449,1.4,3.8,0.357,9.2,19.8,0.466,0.477,5.1,6.5,0.784,2.4,4.5,6.9,6.4,2.1,0.5,3.4,2.6,27.7,107.0,109.0,MVP-18
2.0,Glen Rice,30.0,CHH,SF,82.0,82.0,3295.0,10.3,22.6,0.457,2.1,4.9,0.433,8.2,17.7,0.464,0.504,7.0,8.2,0.849,1.5,4.3,5.8,3.0,1.3,0.4,3.0,3.3,29.8,112.0,109.0,"MVP-11,AS,NBA3"
3.0,Grant Hill,25.0,DET,SF,81.0,81.0,3294.0,10.2,22.5,0.452,0.0,0.3,0.143,10.1,22.1,0.457,0.453,7.9,10.7,0.74,1.5,8.8,10.3,9.1,2.4,0.9,4.7,3.2,28.3,106.0,101.0,"MVP-9,AS,NBA2"
4.0,Ray Allen,22.0,MIL,SG,82.0,82.0,3287.0,9.1,21.3,0.428,2.2,6.0,0.364,6.9,15.3,0.453,0.479,5.5,6.3,0.875,2.1,4.5,6.6,5.8,1.8,0.2,4.3,4.0,25.9,106.0,108.0,
5.0,Antoine Walker,21.0,BOS,PF,82.0,82.0,3268.0,11.4,26.8,0.423,1.4,4.6,0.312,9.9,22.2,0.447,0.45,4.8,7.4,0.645,4.3,8.9,13.2,4.3,2.2,0.9,4.6,4.1,29.0,98.0,104.0,"MVP-12,AS"
6.0,Kevin Garnett,21.0,MIN,PF,82.0,82.0,3222.0,10.2,20.8,0.491,0.0,0.3,0.188,10.2,20.5,0.495,0.492,3.9,5.3,0.738,3.6,9.1,12.6,5.6,2.2,2.4,3.1,3.6,24.4,109.0,103.0,"DPOY-11,AS"
7.0,Tim Duncan,21.0,SAS,PF,82.0,82.0,3204.0,12.0,21.8,0.549,0.0,0.2,0.0,12.0,21.6,0.553,0.549,5.4,8.2,0.662,4.6,11.9,16.6,3.8,0.9,3.5,4.7,4.3,29.3,108.0,95.0,"MVP-5,ROY-1,DPOY-5,AS,NBA1"
8.0,Wesley Person,26.0,CLE,SG,82.0,82.0,3198.0,7.3,16.0,0.46,3.2,7.5,0.43,4.1,8.5,0.486,0.56,2.2,2.8,0.776,1.1,5.0,6.1,3.1,2.2,0.8,1.8,1.8,20.1,114.0,101.0,
9.0,Michael Jordan,34.0,CHI,SG,82.0,82.0,3181.0,14.9,32.1,0.465,0.5,2.1,0.238,14.4,30.0,0.482,0.473,9.6,12.2,0.784,2.2,5.8,8.1,4.8,2.4,0.8,3.1,2.6,40.0,114.0,100.0,"MVP-1,DPOY-4,AS,NBA1"
10.0,Allen Iverson,22.0,PHI,PG,80.0,80.0,3150.0,10.9,23.7,0.461,1.2,4.0,0.298,9.8,19.7,0.494,0.486,6.6,9.0,0.729,1.4,3.5,5.0,8.3,3.0,0.4,4.1,3.4,29.6,109.0,106.0,
11.0,Anthony Mason,31.0,CHH,PF,81.0,80.0,3148.0,6.6,13.0,0.509,0.0,0.1,0.0,6.6,13.0,0.512,0.509,4.5,6.9,0.649,3.0,11.1,14.1,5.8,1.2,0.3,2.5,3.1,17.7,114.0,104.0,DPOY-9
12.0,Gary Payton,29.0,SEA,PG,82.0,82.0,3145.0,9.8,21.7,0.453,2.3,6.7,0.338,7.6,15.0,0.505,0.505,4.7,6.4,0.744,1.3,5.1,6.4,11.5,3.1,0.3,3.9,3.3,26.7,114.0,103.0,"MVP-3,DPOY-2,AS,NBA1"
13.0,Jason Kidd,24.0,PHO,PG,82.0,82.0,3118.0,6.0,14.5,0.416,1.2,3.9,0.313,4.8,10.5,0.454,0.458,2.8,3.5,0.799,1.8,6.8,8.6,12.5,2.7,0.4,4.4,2.4,16.1,105.0,101.0,"MVP-13,AS"
14.0,Stephon Marbury,20.0,MIN,PG,82.0,81.0,3112.0,8.5,20.6,0.415,1.6,5.1,0.313,7.0,15.5,0.448,0.453,5.5,7.5,0.731,1.0,2.9,3.8,11.7,1.7,0.1,4.3,3.7,24.2,105.0,111.0,
15.0,Jim Jackson,27.0,2TM,SG,79.0,78.0,3046.0,8.3,19.2,0.43,1.1,3.3,0.319,7.2,15.9,0.453,0.458,4.0,4.9,0.812,2.3,4.7,6.9,6.6,1.4,0.1,4.6,3.2,21.5,99.0,109.0,
16.0,Tim Hardaway,31.0,MIA,PG,81.0,81.0,3031.0,10.0,23.3,0.431,2.8,8.0,0.351,7.3,15.4,0.472,0.49,4.6,5.9,0.781,0.9,4.5,5.4,12.1,2.4,0.3,4.0,3.6,27.5,113.0,103.0,"MVP-6,AS,NBA2"
17.0,Karl Malone,34.0,UTA,PF,81.0,81.0,3030.0,13.9,26.2,0.53,0.0,0.1,0.333,13.8,26.0,0.531,0.531,11.2,14.7,0.761,3.4,11.5,14.8,5.6,1.7,1.2,4.4,4.2,38.9,118.0,102.0,"MVP-2,AS,NBA1"
18.0,Rod Strickland,31.0,WAS,PG,76.0,76.0,3020.0,8.5,19.6,0.434,0.2,0.8,0.25,8.3,18.7,0.442,0.439,6.2,8.5,0.726,1.9,5.1,7.0,13.9,2.2,0.4,4.6,3.2,23.4,107.0,105.0,"MVP-18,NBA2"
19.0,Bo Outlaw,26.0,ORL,PF,82.0,76.0,2953.0,5.6,10.1,0.554,0.0,0.1,0.25,5.6,10.1,0.557,0.555,3.4,5.8,0.575,4.8,7.1,11.9,4.0,2.0,3.4,3.3,4.9,14.6,109.0,101.0,DPOY-5
20.0,Shareef Abdur-Rahim,21.0,VAN,SF,82.0,82.0,2950.0,11.5,23.8,0.485,0.4,0.9,0.412,11.2,22.9,0.488,0.493,8.9,11.3,0.784,4.0,6.3,10.3,3.8,1.6,1.3,4.5,3.6,32.3,109.0,112.0,
21.0,Vin Baker,26.0,SEA,C,82.0,82.0,2944.0,11.5,21.1,0.542,0.0,0.1,0.143,11.4,21.0,0.545,0.543,5.6,9.6,0.591,5.2,6.7,11.9,2.8,1.7,1.6,3.2,5.0,28.6,112.0,104.0,"MVP-8,AS,NBA2"
