Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,James Harden,29.0,HOU,PG,78.0,78.0,2867.0,10.807692307692308,24.474358974358974,0.442,378.0,1028.0,0.368,465.0,881.0,0.528,0.541,9.666666666666666,11.0,0.879,66.0,452.0,518.0,586.0,158.0,58.0,387.0,244.0,36.12820512820513,7.0,"MVP-2,AS,NBA1"
2.0,Paul George,28.0,OKC,SF,77.0,77.0,2841.0,9.181818181818182,20.961038961038962,0.438,292.0,757.0,0.386,415.0,857.0,0.484,0.529,5.883116883116883,7.012987012987013,0.839,105.0,523.0,628.0,318.0,170.0,34.0,205.0,214.0,28.038961038961038,1.0,"MVP-3,DPOY-3,AS,NBA1"
3.0,Kemba Walker,28.0,CHO,PG,82.0,82.0,2863.0,8.914634146341463,20.536585365853657,0.434,260.0,731.0,0.356,471.0,953.0,0.494,0.511,4.634146341463414,5.487804878048781,0.844,52.0,309.0,361.0,484.0,102.0,34.0,211.0,131.0,25.634146341463413,0.0,"AS,NBA3"
4.0,Bradley Beal,25.0,WAS,SG,82.0,82.0,3028.0,9.317073170731707,19.621951219512194,0.475,209.0,596.0,0.351,555.0,1013.0,0.548,0.54,4.414634146341464,5.463414634146342,0.808,89.0,322.0,411.0,448.0,121.0,58.0,224.0,226.0,25.597560975609756,2.0,AS
5.0,Damian Lillard,28.0,POR,PG,80.0,80.0,2838.0,8.5125,19.1625,0.444,237.0,643.0,0.369,444.0,890.0,0.499,0.522,5.85,6.4125,0.912,68.0,303.0,371.0,551.0,88.0,34.0,212.0,148.0,25.8375,0.0,"MVP-6,AS,NBA2"
6.0,Kevin Durant,30.0,GSW,SF,78.0,78.0,2702.0,9.243589743589743,17.73076923076923,0.521,137.0,388.0,0.353,584.0,995.0,0.587,0.571,5.743589743589744,6.487179487179487,0.885,33.0,464.0,497.0,457.0,58.0,84.0,225.0,155.0,25.987179487179485,2.0,"MVP-8,AS,NBA2"
7.0,Giannis Antetokounmpo,24.0,MIL,PF,72.0,72.0,2358.0,10.01388888888889,17.319444444444443,0.578,52.0,203.0,0.256,669.0,1044.0,0.641,0.599,6.944444444444445,9.527777777777779,0.729,159.0,739.0,898.0,424.0,92.0,110.0,268.0,232.0,27.694444444444443,5.0,"MVP-1,DPOY-2,AS,NBA1"
8.0,Stephen Curry,30.0,GSW,PG,69.0,69.0,2331.0,9.159420289855072,19.420289855072465,0.472,354.0,810.0,0.437,278.0,530.0,0.525,0.604,3.8115942028985508,4.159420289855072,0.916,45.0,324.0,369.0,361.0,92.0,25.0,192.0,166.0,27.26086956521739,0.0,"MVP-5,AS,NBA1"
9.0,Karl-Anthony Towns,23.0,MIN,C,77.0,77.0,2545.0,8.844155844155845,17.064935064935064,0.518,142.0,355.0,0.4,539.0,959.0,0.562,0.572,4.883116883116883,5.8441558441558445,0.836,263.0,691.0,954.0,259.0,67.0,125.0,240.0,292.0,24.415584415584416,0.0,AS
10.0,Blake Griffin,29.0,DET,PF,75.0,75.0,2622.0,8.253333333333334,17.88,0.462,189.0,522.0,0.362,430.0,819.0,0.525,0.532,5.52,7.333333333333333,0.753,100.0,465.0,565.0,402.0,52.0,28.0,253.0,199.0,24.546666666666667,2.0,"AS,NBA3"
11.0,Donovan Mitchell,22.0,UTA,SG,77.0,77.0,2598.0,8.584415584415584,19.87012987012987,0.432,188.0,519.0,0.362,473.0,1011.0,0.468,0.493,4.142857142857143,5.142857142857143,0.806,59.0,257.0,316.0,322.0,106.0,31.0,218.0,208.0,23.753246753246753,0.0,
12.0,Joel Embiid,24.0,PHI,C,64.0,64.0,2154.0,9.0625,18.734375,0.484,79.0,263.0,0.3,501.0,936.0,0.535,0.517,8.15625,10.140625,0.804,160.0,711.0,871.0,234.0,46.0,122.0,226.0,211.0,27.515625,2.0,"MVP-7,DPOY-4,AS,NBA2"
13.0,LaMarcus Aldridge,33.0,SAS,C,81.0,81.0,2687.0,8.444444444444445,16.28395061728395,0.519,10.0,42.0,0.238,674.0,1277.0,0.528,0.522,4.308641975308642,5.08641975308642,0.847,251.0,493.0,744.0,194.0,43.0,107.0,144.0,179.0,21.320987654320987,0.0,AS
14.0,D'Angelo Russell,22.0,BRK,PG,81.0,81.0,2448.0,8.135802469135802,18.728395061728396,0.434,234.0,635.0,0.369,425.0,882.0,0.482,0.512,1.9753086419753085,2.5308641975308643,0.78,53.0,262.0,315.0,563.0,100.0,20.0,253.0,141.0,21.135802469135804,0.0,AS
15.0,Devin Booker,22.0,PHO,SG,64.0,64.0,2242.0,9.15625,19.609375,0.467,135.0,414.0,0.326,451.0,841.0,0.536,0.521,6.140625,7.09375,0.866,39.0,226.0,265.0,433.0,56.0,13.0,264.0,200.0,26.5625,0.0,
